Release_date Reference_month UNEMP HICP TOUR RETAIL
25.02.2016 2016M01 _ * _ _
01.03.2016 2016M01 * _ _ _
17.03.2016 2016M02 _ * _ _
01.04.2016 2016M02 * _ _ _
05.04.2016 2016M01 _ _ _ *
14.04.2016 2016M03 _ * _ _
29.04.2016 2016M03 * _ _ _
04.05.2016 2016M02 _ _ _ *
18.05.2016 2016M04 _ * _ _
31.05.2016 2016M04 * _ _ _
03.06.2016 2016M03 _ _ _ *
16.06.2016 2016M05 _ * _ _
01.07.2016 2016M05 * _ _ _
05.07.2016 2016M04 _ _ _ *
15.07.2016 2016M06 _ * _ _
29.07.2016 2016M06 * _ _ _
02.08.2016 2016M05 _ _ _ *
18.08.2016 2016M07 _ * _ _
31.08.2016 2016M07 * _ _ _
05.09.2016 2016M06 _ _ _ *
15.09.2016 2016M08 _ * _ _
30.09.2016 2016M08 * _ _ _
05.10.2016 2016M07 _ _ _ *
17.10.2016 2016M09 _ * _ _
01.11.2016 2016M09 * _ _ _
07.11.2016 2016M08 _ _ _ *
17.11.2016 2016M10 _ * _ _
01.12.2016 2016M10 * _ _ _
05.12.2016 2016M09 _ _ _ *
16.12.2016 2016M11 _ * _ _
